euler,centroid_x,centroid_y,hor_symm,ver_symm,aspect_ratio,area_ratio
-2.000000,5.590643,6.263158,0.285714,0.758621,1.000000,0.600000
0.000000,4.553191,5.037234,0.431818,0.260000,1.000000,0.582043
1.000000,4.693878,6.316327,0.000000,0.304348,1.000000,0.368421
0.000000,4.413333,7.046667,0.000000,0.600000,1.000000,0.526316
0.000000,4.688525,4.967213,0.904762,0.816327,1.000000,0.506925
0.000000,4.333333,5.380208,0.823529,0.622951,1.000000,0.594427
1.000000,4.585714,5.700000,0.666667,0.326923,1.000000,0.433437
-1.000000,4.648276,7.372414,0.000000,0.425000,1.000000,0.508772
0.000000,4.322115,5.149038,0.312500,0.369863,1.000000,0.576177
1.000000,4.901734,5.520231,0.595238,0.295455,1.000000,0.535604
1.000000,4.539062,7.398438,0.000000,0.489796,1.000000,0.518219
-1.000000,4.000000,9.416667,0.000000,0.638889,1.000000,0.568421
1.000000,5.838926,4.953020,0.862069,0.513514,0.000000,0.517361
0.000000,4.942149,8.107438,0.000000,0.478261,1.000000,0.489879
1.000000,4.773006,6.484663,0.909091,0.442308,1.000000,0.536184
1.000000,4.108280,4.044586,0.365079,0.820513,1.000000,0.434903
1.000000,4.930818,7.496855,0.714286,0.326923,1.000000,0.557895
0.000000,4.940476,6.113095,0.058824,0.461538,1.000000,0.589474
1.000000,4.470588,5.833333,0.000000,0.439024,1.000000,0.282548
0.000000,5.179856,8.165468,0.000000,0.480000,1.000000,0.562753
0.000000,5.135714,5.721429,0.391304,0.739130,1.000000,0.433437
1.000000,3.155172,5.267241,0.750000,0.454545,1.000000,0.359133
1.000000,3.611111,12.277778,0.000000,0.500000,6.000000,0.631579
0.000000,5.009259,8.675926,0.000000,0.291667,1.000000,0.516746
0.000000,4.867725,6.095238,0.575758,0.612245,1.000000,0.585139
0.000000,4.167832,6.237762,1.000000,0.600000,1.000000,0.501754
0.000000,5.869792,4.770833,0.500000,0.531250,0.000000,0.594427
0.000000,4.584270,9.292135,0.000000,0.187500,1.000000,0.425837
0.000000,3.947761,8.402985,0.000000,0.500000,1.000000,0.542510
0.000000,4.458333,5.494048,0.781250,0.675676,1.000000,0.465374
0.000000,4.144385,5.417112,1.000000,0.474576,1.000000,0.578947
1.000000,5.277778,8.355556,0.000000,0.300000,1.000000,0.394737
1.000000,6.468468,5.243243,0.058824,0.375000,0.000000,0.389474
0.000000,4.888889,6.388889,0.111111,0.821429,1.000000,0.473684
0.000000,6.723270,4.427673,0.651163,0.800000,0.000000,0.557895
-2.000000,4.556250,7.293750,0.000000,0.500000,1.000000,0.601504
0.000000,4.906832,4.900621,0.638889,0.342105,1.000000,0.445983
0.000000,4.736842,5.954887,0.210526,0.333333,1.000000,0.411765
0.000000,5.218579,4.633880,0.545455,0.634615,1.000000,0.506925
1.000000,4.000000,13.000000,0.000000,1.000000,6.000000,1.000000
1.000000,3.973913,7.295652,0.000000,0.585366,1.000000,0.432331
1.000000,4.157895,7.092105,0.000000,0.411765,1.000000,0.307692
